product,(All)
,
Row Labels,Sum of total_sales
6/23/2021,1734136
6/24/2021,6428692
6/25/2021,279527
6/26/2021,2345921
6/27/2021,174341
6/28/2021,157957
6/29/2021,229300
6/30/2021,336764
7/1/2021,294668
7/2/2021,4290350
7/3/2021,1540447
7/4/2021,171718
7/5/2021,4594907
7/6/2021,4905963
7/7/2021,276519
7/8/2021,3861989
7/9/2021,6854359
7/10/2021,4637215
7/11/2021,1140428
7/12/2021,3600662
7/13/2021,2771266
7/14/2021,236234
7/15/2021,2446238
7/16/2021,12261098
7/17/2021,3149600
7/18/2021,266604
7/19/2021,3557708
7/20/2021,2686662
7/21/2021,1160252
7/22/2021,1806429
7/23/2021,7689134
7/24/2021,312736
7/25/2021,2368624
7/26/2021,307605
7/27/2021,166319
7/28/2021,159188
7/29/2021,227844
7/30/2021,322915
7/31/2021,269000
8/1/2021,238709
8/2/2021,298122
8/3/2021,3881474
8/4/2021,1518106
8/5/2021,445340
8/6/2021,4320963
8/7/2021,2114175
8/8/2021,2614597
8/9/2021,3573083
8/10/2021,6121201
8/11/2021,4436784
8/12/2021,1257099
8/13/2021,3646866
8/14/2021,2705334
8/15/2021,297455
8/16/2021,2257327
8/17/2021,9517031
8/18/2021,2996546
8/19/2021,311087
8/20/2021,3436729
8/21/2021,2430449
8/22/2021,1276232
8/23/2021,2045045
8/24/2021,5813813
8/25/2021,230555
8/26/2021,2513548
8/27/2021,216797
8/28/2021,349831
8/29/2021,357307
8/30/2021,575007
8/31/2021,491609
9/1/2021,527294
9/2/2021,2267438
9/3/2021,1370432
9/4/2021,865366
9/5/2021,5131197
9/6/2021,1864936
9/7/2021,1120330
9/8/2021,2683674
9/9/2021,2008803
9/10/2021,3983388
9/11/2021,3141430
9/12/2021,1846889
9/13/2021,3041049
9/14/2021,2309812
9/15/2021,2211313
9/16/2021,1746852
9/17/2021,2258185
9/18/2021,3869394
9/19/2021,2779585
9/20/2021,2416065
9/21/2021,756684
9/22/2021,583792
9/23/2021,1508227
9/24/2021,2113940
9/25/2021,2425563
9/26/2021,477272
9/27/2021,2359355
9/28/2021,511731
9/29/2021,587438
9/30/2021,589589
10/1/2021,413602
10/2/2021,531578
10/3/2021,1098129
10/4/2021,3430103
10/5/2021,1590428
10/6/2021,1319591
10/7/2021,3060917
10/8/2021,1993095
10/9/2021,1305186
10/10/2021,4579350
10/11/2021,2575170
10/12/2021,4238825
10/13/2021,1719575
10/14/2021,823060
10/15/2021,2282432
10/16/2021,598057
10/17/2021,5548630
10/18/2021,2195176
10/19/2021,2379946
10/20/2021,393800
10/21/2021,1700711
10/22/2021,2697285
10/23/2021,1367323
10/24/2021,2637710
10/25/2021,103160
10/26/2021,1620128
10/27/2021,124029
10/28/2021,275481
10/29/2021,140998
10/30/2021,248678
10/31/2021,82611
11/1/2021,118334
11/2/2021,133405
11/3/2021,3353526
11/4/2021,1391044
11/5/2021,2182433
11/6/2021,3607874
11/7/2021,1992699
11/8/2021,149530
11/9/2021,3231871
11/10/2021,4832155
11/11/2021,4333832
11/12/2021,947208
11/13/2021,2698626
11/14/2021,2658984
11/15/2021,395388
11/16/2021,2006449
11/17/2021,7298791
11/18/2021,3441833
11/19/2021,189027
11/20/2021,2317155
11/21/2021,2611672
11/22/2021,1017525
11/23/2021,1395020
11/24/2021,3869679
11/25/2021,102264
11/26/2021,2196503
11/27/2021,342275
11/28/2021,189405
11/29/2021,129855
11/30/2021,100678
12/1/2021,137040
12/2/2021,4579102
12/3/2021,1839221
12/4/2021,2608665
12/5/2021,4753796
12/6/2021,2460557
12/7/2021,119040
12/8/2021,3780923
12/9/2021,7257917
12/10/2021,4838975
12/11/2021,1108600
12/12/2021,3684274
12/13/2021,3097447
12/14/2021,142147
12/15/2021,2468339
12/16/2021,10871121
12/17/2021,4206924
12/18/2021,52752
12/19/2021,3859805
12/20/2021,2014339
12/21/2021,1733478
12/22/2021,1791736
12/23/2021,5873665
12/24/2021,190885
12/25/2021,2467644
12/26/2021,396004
12/27/2021,602353
12/28/2021,301010
12/29/2021,211109
12/30/2021,167903
12/31/2021,198659
(blank),
Grand Total,899185571
